0.04,0.14
0.63,0.17
0.53,0.09
0.70,0.49
0.48,0.23
0.16,0.38
0.26,0.22
0.64,0.48
0.40,0.63
0.30,0.22
0.53,0.21
0.60,0.44
0.05,0.54
0.03,0.51
0.70,0.57
0.35,0.15
0.51,0.43
0.43,0.36
0.06,0.07
0.18,0.30
0.29,0.59
0.20,0.59
0.30,0.43
0.02,0.39
0.18,0.49
0.62,0.08
0.70,0.32
0.37,0.38
0.32,0.01
0.01,0.19
0.64,0.01
0.23,0.38
0.04,0.37
0.51,0.62
0.42,0.38
0.28,0.42
0.42,0.36
0.57,0.61
0.13,0.38
0.57,0.64
0.29,0.28
0.16,0.07
0.19,0.41
0.61,0.13
0.09,0.01
0.55,0.39
0.40,0.05
0.23,0.60
0.68,0.56
0.62,0.51
0.06,0.16
0.19,0.21
0.61,0.26
0.31,0.62
0.33,0.46
0.10,0.47
0.20,0.10
0.58,0.58
0.60,0.62
0.38,0.44
0.68,0.13
0.44,0.17
0.00,0.68
0.26,0.59
0.14,0.46
0.50,0.12
0.57,0.27
0.22,0.44
0.28,0.52
0.63,0.09
0.43,0.08
0.42,0.13
0.26,0.57
0.67,0.18
0.08,0.06
0.66,0.50
0.40,0.32
0.13,0.38
0.05,0.30
0.51,0.36
0.35,0.19
0.16,0.25
0.34,0.55
0.34,0.62
0.61,0.03
0.05,0.70
0.62,0.40
0.16,0.69
0.37,0.36
0.62,0.11
0.61,0.58
0.42,0.34
0.15,0.39
0.55,0.06
0.35,0.66
0.15,0.45
0.34,0.12
0.12,0.03
0.37,0.15
0.45,0.58
